,PK,time
1059,1127.6006463517047,1059
1060,1119.6800806963824,1060
1061,1111.9129852248225,1061
1062,1104.2951606054912,1062
1063,1096.8225279777487,1063
1064,1089.4911254778606,1064
1065,1082.2971048652514,1065
1066,1075.2367282460884,1066
1067,1068.306364891407,1067
1068,1061.5024881470358,1068
1069,1054.8216724326794,1069
1070,1048.260590327582,1070
1071,1041.8160097402808,1071
1072,1035.4847911600125,1072
1073,1029.2638849874268,1073
1074,1023.150328942312,1074
1075,1017.1412455461118,1075
1076,1011.233839677082,1076
1077,1005.4253961959763,1077
1078,999.7132776402437,1078
1079,994.0949219847477,1079
1080,988.5678404670923,1080
1081,983.1296154756941,1081
1082,977.7778984987816,1082
1083,972.5104081325738,1083
1084,967.3249281469226,1084
1085,962.2193056067631,1085
1086,957.1914490477653,1086
1087,952.2393267046174,1087
1088,947.3609647904258,1088
1089,942.5544458257563,1089
1090,937.8179070158835,1090
1091,933.1495386748575,1091
1092,928.5475826950375,1092
1093,924.0103310607799,1093
1094,919.5361244050071,1094
1095,915.1233506074196,1095
1096,910.7704434331512,1096
1097,906.4758812106968,1097
1098,902.2381855479831,1098
1099,898.055920085482,1099
1100,893.9276892852927,1100
1101,889.8521372551621,1101
1102,885.8279466064294,1102
1103,881.8538373449181,1103
1104,877.9285657938257,1104
1105,874.0509235476876,1105
1106,870.219736456516,1106
1107,866.4338636392474,1107
1108,862.6921965256488,1108
1109,858.993657925865,1109
1110,855.3372011268077,1110
1111,851.7218090146106,1111
1112,848.1464932224007,1112
1113,844.6102933026565,1113
1114,841.1122759234383,1114
1115,837.6515340878079,1115
1116,834.2271863757647,1116
1117,830.8383762080496,1117
1118,827.4842711311865,1118
1119,824.1640621231479,1119
1120,820.8769629190496,1120
1121,817.6222093562949,1121
1122,814.3990587386129,1122
1123,811.2067892184369,1123
1124,808.0446991971014,1124
1125,804.9121067423401,1125
1126,801.8083490225861,1126
1127,798.7327817575891,1127
1128,795.6847786848801,1128
1129,792.6637310416257,1129
1130,789.6690470614266,1130
1131,786.7001514856331,1131
1132,783.7564850887517,1132
1133,780.8375042175445,1133
1134,777.9426803434209,1134
1135,775.0714996277391,1135
1136,772.2234624996453,1136
1137,769.3980832460908,1137
1138,766.5948896136698,1138
1139,763.8134224219457,1139
1140,761.0532351879249,1140
1141,758.3138937613642,1141
1142,755.5949759705946,1142
1143,752.8960712785595,1143
1144,750.2167804487729,1144
1145,747.5567152209122,1145
1146,744.9154979957649,1146
1147,742.29276152926,1147
1148,739.688148635326,1148
1149,737.1013118973153,1149
1150,734.5319133877524,1150
1151,731.9796243961592,1151
1152,729.4441251647353,1152
1153,726.9251046316542,1153
1154,724.4222601817652,1154
1155,721.9352974044812,1155
1156,719.4639298586507,1156
1157,717.0078788442064,1157
1158,714.5668731803986,1158
1159,712.1406489904242,1159
1160,709.7289494922634,1160
1161,707.3315247955475,1161
1162,704.9481317042843,1162
1163,702.5785335252675,1163
1164,700.2224998820144,1164
1165,697.8798065340633,1165
1166,695.5502352014822,1166
1167,693.2335733944368,1167
1168,690.9296142476693,1168
1169,688.6381563597516,1169
1170,686.3590036369698,1170
1171,684.0919651417081,1171
1172,681.8368549452055,1172
1173,679.5934919845542,1173
1174,677.3616999238202,1174
1175,675.1413070191667,1175
1176,672.932145987864,1176
